parent,name,line,node
s287-86.0,s288-105.0,grey,steelblue
s287-98.0,s288-117.0,grey,steelblue
s287-15.0,s288-24.0,grey,steelblue
s287-6.0,s288--1,red,red
s287-34.0,s288-44.0,grey,steelblue
s287-3.0,s288-3.0,grey,steelblue
s287-84.0,s288-103.0,grey,steelblue
s288-31.0,s289-51.0,grey,steelblue
s288-140.0,s289-214.0,grey,steelblue
s288-55.0,s289-178.0,grey,steelblue
s288-80.0,s289-120.0,grey,steelblue
s288-12.0,s289--2,red,red
s288-88.0,s289-131.0,grey,steelblue
s288-69.0,s289--2,red,red
s288-10.0,s289--2,red,red
s288-117.0,s289-131.0,grey,steelblue
s288-27.0,s289--2,red,red
s288-1.0,s289-1.0,grey,steelblue
s288-2.0,s289-2.0,grey,steelblue
s288-102.0,s289-157.0,grey,steelblue
s288-124.0,s289--2,red,red
s288-10.0,s289-17.0,grey,steelblue
s288-64.0,s289--2,red,red
s288-98.0,s289-149.0,grey,steelblue
s288-107.0,s289--2,red,red
s288-2.0,s289-18.0,grey,steelblue
s288-44.0,s289-65.0,grey,steelblue
s288-31.0,s289--2,red,red
s288-77.0,s289-114.0,grey,steelblue
s288-70.0,s289-108.0,grey,steelblue
s288-12.0,s289-20.0,grey,steelblue
s288-2.0,s289--2,red,red
s288-55.0,s289-181.0,grey,steelblue
s288-77.0,s289--2,red,red
s288-1.0,s289--2,red,red
s288-45.0,s289--2,red,red
s288-24.0,s289-37.0,grey,steelblue
s288-70.0,s289-105.0,grey,steelblue
s288-57.0,s289-86.0,grey,steelblue
s288-2.0,s289-79.0,grey,steelblue
s288-97.0,s289-148.0,grey,steelblue
s288-99.0,s289-150.0,grey,steelblue
s288-12.0,s289-23.0,grey,steelblue
s288-41.0,s289-62.0,grey,steelblue
s288-17.0,s289-31.0,grey,steelblue
s288-45.0,s289-66.0,grey,steelblue
s288-55.0,s289-177.0,grey,steelblue
s288-45.0,s289-172.0,grey,steelblue
s288-80.0,s289--2,red,red
s288-64.0,s289-95.0,grey,steelblue
s288-9.0,s289--2,red,red
s288-107.0,s289-157.0,grey,steelblue
s288-2.0,s289-90.0,grey,steelblue
s288-2.0,s289-193.0,grey,steelblue
s288-19.0,s289-29.0,grey,steelblue
s288-105.0,s289--2,red,red
s288-69.0,s289-103.0,grey,steelblue
s288-24.0,s289-35.0,grey,steelblue
s288-81.0,s289-142.0,grey,steelblue
s288-17.0,s289--2,red,red
s288-73.0,s289--2,red,red
s288-73.0,s289-175.0,grey,steelblue
s288-103.0,s289--2,red,red
s288-73.0,s289-110.0,grey,steelblue
s288-6.0,s289-9.0,grey,steelblue
s288-70.0,s289-107.0,grey,steelblue
s288-3.0,s289-7.0,grey,steelblue
s288-31.0,s289-59.0,grey,steelblue
s288-2.0,s289-68.0,grey,steelblue
s288-124.0,s289-197.0,grey,steelblue
s288-37.0,s289-58.0,grey,steelblue
s288-90.0,s289--2,red,red
s288-2.0,s289-74.0,grey,steelblue
s288-9.0,s289-14.0,grey,steelblue
s288-132.0,s289-206.0,grey,steelblue
s288-140.0,s289--2,red,red
s288-2.0,s289-43.0,grey,steelblue
s288-2.0,s289-67.0,grey,steelblue
s288-55.0,s289--2,red,red
s288-99.0,s289--2,red,red
s288-117.0,s289--2,red,red
s288-81.0,s289--2,red,red
s288-88.0,s289--2,red,red
s288-134.0,s289-208.0,grey,steelblue
s288-17.0,s289-26.0,grey,steelblue
s288-2.0,s289-195.0,grey,steelblue
s288-27.0,s289-45.0,grey,steelblue
s288-102.0,s289-155.0,grey,steelblue
s288-55.0,s289-183.0,grey,steelblue
s288-129.0,s289-203.0,grey,steelblue
s288-24.0,s289--2,red,red
s288-6.0,s289--1,red,red
s288-64.0,s289-102.0,grey,steelblue
s289-193.0,s290-202.0,grey,steelblue
s289-86.0,s290-91.0,grey,steelblue
s289-79.0,s290-171.0,grey,steelblue
s289-214.0,s290-226.0,grey,steelblue
s289-65.0,s290-69.0,grey,steelblue
s289-35.0,s290-37.0,grey,steelblue
s289-68.0,s290-72.0,grey,steelblue
s289-67.0,s290-71.0,grey,steelblue
s289-102.0,s290-107.0,grey,steelblue
s289-90.0,s290-95.0,grey,steelblue
s289-120.0,s290-125.0,grey,steelblue
s289-67.0,s290-78.0,grey,steelblue
s289-114.0,s290-119.0,grey,steelblue
s289-1.0,s290-1.0,grey,steelblue
s289-79.0,s290--2,red,red
s289-208.0,s290-217.0,grey,steelblue
s289-131.0,s290--2,red,red
s289-7.0,s290-8.0,grey,steelblue
s289-14.0,s290-15.0,grey,steelblue
s289-2.0,s290-2.0,grey,steelblue
s289-131.0,s290-136.0,grey,steelblue
s289-155.0,s290-160.0,grey,steelblue
s289-107.0,s290-112.0,grey,steelblue
s289-20.0,s290-21.0,grey,steelblue
s289-43.0,s290--2,red,red
s289-45.0,s290--2,red,red
s289-29.0,s290-31.0,grey,steelblue
s289-181.0,s290--2,red,red
s289-20.0,s290-22.0,grey,steelblue
s289-108.0,s290-113.0,grey,steelblue
s289-59.0,s290-62.0,grey,steelblue
s289-105.0,s290-110.0,grey,steelblue
s289-148.0,s290-153.0,grey,steelblue
s289-175.0,s290-182.0,grey,steelblue
s289-62.0,s290-66.0,grey,steelblue
s289-74.0,s290-79.0,grey,steelblue
s289-178.0,s290-186.0,grey,steelblue
s289-58.0,s290--2,red,red
s289-172.0,s290-178.0,grey,steelblue
s289-181.0,s290-189.0,grey,steelblue
s289-9.0,s290-10.0,grey,steelblue
s289-183.0,s290-191.0,grey,steelblue
s289-203.0,s290-212.0,grey,steelblue
s289-110.0,s290-115.0,grey,steelblue
s289-157.0,s290-162.0,grey,steelblue
s289-172.0,s290--2,red,red
s289-177.0,s290-185.0,grey,steelblue
s289-195.0,s290-204.0,grey,steelblue
s289-31.0,s290-33.0,grey,steelblue
s289-175.0,s290--2,red,red
